StockCode,total_revenue,total_quantity_sold,Average Selling Price,revenue_generated_category,quantity_sold_category,average_selling_price_category,revenue_from_high_value_customers,quantitysold_to_high_value_customer
10002,340.84999999999997,401,0.8499999999999999,Medium Revenue,Medium Quantity,Low 20-40% Range,289.84999999999997,341.0
10080,114.41,291,0.3931615120274914,Low Revenue,Medium Quantity,Very Low 0-20% Range,44.599999999999994,112.0
10120,38.43,183,0.21,Low Revenue,Medium Quantity,Very Low 0-20% Range,18.06,86.0
10123C,3.25,5,0.65,Low Revenue,Low Qunatity,Very Low 0-20% Range,0.0,0.0
10124A,6.72,16,0.42,Low Revenue,Low Qunatity,Very Low 0-20% Range,3.36,8.0
10124G,7.14,17,0.42,Low Revenue,Low Qunatity,Very Low 0-20% Range,3.36,8.0
10125,437.6,616,0.7103896103896105,Medium Revenue,Medium Quantity,Very Low 0-20% Range,286.7,398.0
10133,1076.1100000000001,2254,0.47742236024844725,Medium Revenue,High Quantity,Very Low 0-20% Range,473.97,892.0
10135,1499.49,1638,0.9154395604395604,High Revenue,High Quantity,Low 20-40% Range,729.64,821.0
11001,1709.6399999999999,1108,1.5429963898916967,High Revenue,High Quantity,Medium 40-60% Range,1150.25,777.0
15030,41.47,143,0.29,Low Revenue,Medium Quantity,Very Low 0-20% Range,3.19,11.0
15034,670.1800000000001,6227,0.10762485948289707,Medium Revenue,High Quantity,Very Low 0-20% Range,448.70000000000005,4045.0
15036,14014.52,19116,0.7331303620004185,High Revenue,High Quantity,Very Low 0-20% Range,8749.19,11869.0
15039,1115.3,1538,0.7251625487646294,High Revenue,High Quantity,Very Low 0-20% Range,642.6999999999999,982.0
15044A,1142.0800000000002,392,2.9134693877551023,High Revenue,Medium Quantity,High 60-80% Range,658.2800000000001,228.0
15044B,812.5500000000001,289,2.8115916955017304,Medium Revenue,Medium Quantity,High 60-80% Range,401.85,143.0
15044C,747.0,260,2.873076923076923,Medium Revenue,Medium Quantity,High 60-80% Range,419.55,149.0
15044D,1629.54,594,2.743333333333333,High Revenue,Medium Quantity,High 60-80% Range,883.99,325.0
15056BL,12404.82,2296,5.402796167247387,High Revenue,High Quantity,Very High 80-100% Range,10805.27,2007.0
15056N,18168.46,3391,5.3578472427012676,High Revenue,High Quantity,Very High 80-100% Range,14119.01,2660.0
15056P,3017.06,551,5.475607985480944,High Revenue,Medium Quantity,Very High 80-100% Range,2184.56,401.0
15058A,905.85,123,7.364634146341464,Medium Revenue,Medium Quantity,Very High 80-100% Range,583.95,81.0
